scenario,condition,intr_TP,intr_FP,intr_FN,intr_P,intr_R,intr_F1,seq_GT_len,seq_gen_len,seq_P,seq_R,seq_F1
S1a,C1_llm_only,2,0,0,1.0,1.0,1.0,8,8,1.0,1.0,1.0
S1a,C2_static_only,2,2,0,0.5,1.0,0.667,8,4,0.5,0.25,0.333
S1a,C3_dynamic_only,2,5,0,0.286,1.0,0.444,8,39,0.205,1.0,0.34
S1a,C4_guided_only,2,1,0,0.667,1.0,0.8,8,12,0.667,1.0,0.8
S1a,C5_guided_reach,2,0,0,1.0,1.0,1.0,8,8,1.0,1.0,1.0
S1a,C6_full_trace_reach_only,2,0,0,1.0,1.0,1.0,8,8,1.0,1.0,1.0
S1a,C7_llm_c2,2,0,0,1.0,1.0,1.0,8,8,1.0,1.0,1.0
S1a,C8_llm_c3,2,0,0,1.0,1.0,1.0,8,8,1.0,1.0,1.0
S1a,C9_llm_c4,2,1,0,0.667,1.0,0.8,8,8,1.0,1.0,1.0
S1b,C1_llm_only,3,0,0,1.0,1.0,1.0,5,5,1.0,1.0,1.0
S1b,C2_static_only,3,1,0,0.75,1.0,0.857,5,4,0.75,0.6,0.667
S1b,C3_dynamic_only,3,5,0,0.375,1.0,0.545,5,28,0.179,1.0,0.304
S1b,C4_guided_only,3,1,0,0.75,1.0,0.857,5,9,0.556,1.0,0.715
S1b,C5_guided_reach,3,0,0,1.0,1.0,1.0,5,5,1.0,1.0,1.0
S1b,C6_full_trace_reach_only,3,0,0,1.0,1.0,1.0,5,5,1.0,1.0,1.0
S1b,C7_llm_c2,3,0,0,1.0,1.0,1.0,5,5,1.0,1.0,1.0
S1b,C8_llm_c3,3,0,0,1.0,1.0,1.0,5,5,1.0,1.0,1.0
S1b,C9_llm_c4,3,0,0,1.0,1.0,1.0,5,5,1.0,1.0,1.0
S2,C1_llm_only,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S2,C2_static_only,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S2,C3_dynamic_only,1,1,0,0.5,1.0,0.667,1,2,0.5,1.0,0.667
S2,C4_guided_only,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S2,C5_guided_reach,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S2,C6_full_trace_reach_only,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S2,C7_llm_c2,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S2,C8_llm_c3,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S2,C9_llm_c4,1,0,0,1.0,1.0,1.0,1,1,1.0,1.0,1.0
S3,C1_llm_only,3,1,0,0.75,1.0,0.857,13,14,0.714,0.769,0.74
S3,C2_static_only,1,0,2,1.0,0.333,0.5,13,1,1.0,0.077,0.143
S3,C3_dynamic_only,3,7,0,0.3,1.0,0.462,13,52,0.25,1.0,0.4
S3,C4_guided_only,3,0,0,1.0,1.0,1.0,13,17,0.765,1.0,0.867
S3,C5_guided_reach,3,0,0,1.0,1.0,1.0,13,13,1.0,1.0,1.0
S3,C6_full_trace_reach_only,3,0,0,1.0,1.0,1.0,13,13,1.0,1.0,1.0
S3,C7_llm_c2,3,3,0,0.5,1.0,0.667,13,18,0.556,0.769,0.645
S3,C8_llm_c3,2,2,1,0.5,0.667,0.571,13,13,0.615,0.615,0.615
S3,C9_llm_c4,1,2,2,0.333,0.333,0.333,13,12,0.583,0.538,0.56
