Sequence,EventName,ClientComponent,ClientFunction,ServerComponent,ServerFunction,RelationshipType,EventTimestamp
1,getBit,/src/Utilities/DataPresentation/hamming74.cpp,encode,/include/cpsCore/Utilities/DataPresentation/hamming74.h,getBit,Command,2026-05-22T12:42:09.425085Z
2,stream,/src/Configuration/PropertyMapper.cpp,add,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.426085Z
3,callSigHandlers,/src/Utilities/SignalHandler/SignalHandler.cpp,sigIntHandler,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,callSigHandlers,Command,2026-05-22T12:42:09.427085Z
4,getInstance,/src/Utilities/SignalHandler/SignalHandler.cpp,sigIntHandler,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,getInstance,Command,2026-05-22T12:42:09.428085Z
5,complete,/tests/Utilities/FilterTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.429085Z
6,handleExpr,/tests/Utilities/FilterTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.430085Z
7,flush,/src/Utilities/SignalHandler/SignalHandler.cpp,sigIntHandler,/include/cpsCore/Logging/CPSLogger.h,flush,Command,2026-05-22T12:42:09.431085Z
8,instance,/src/Utilities/SignalHandler/SignalHandler.cpp,sigIntHandler,/include/cpsCore/Logging/CPSLogger.h,instance,Command,2026-05-22T12:42:09.432085Z
9,getInstance,/include/cpsCore/Utilities/Test/TestRunner.hpp,main,/include/cpsCore/Utilities/Test/TestInfo.h,getInstance,Command,2026-05-22T12:42:09.433085Z
10,initialize,/include/cpsCore/Utilities/Test/TestRunner.hpp,main,/include/cpsCore/Utilities/Test/TestInfo.h,initialize,Command,2026-05-22T12:42:09.434085Z
11,connect,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,RedisPublisher,/extern/cpp_redis/includes/cpp_redis/core/client.hpp,connect,Command,2026-05-22T12:42:09.435085Z
12,connect,/src/Utilities/IDC/NetworkLayer/Redis/RedisSubscriber.cpp,RedisSubscriber,/include/cpsCore/Utilities/IDC/NetworkLayer/Redis/RedisSubscriber.h,connect,Command,2026-05-22T12:42:09.436085Z
13,complete,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.437085Z
14,handleExpr,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.438085Z
15,margin,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,margin,Command,2026-05-22T12:42:09.439085Z
16,mandatoryCheck,/src/Configuration/PropertyMapper.cpp,add,/include/cpsCore/Configuration/PropertyMapper.hpp,mandatoryCheck,Command,2026-05-22T12:42:09.440085Z
17,flush,/src/Logging/CPSLogger.cpp,~FlushScope,/include/cpsCore/Logging/CPSLogger.h,flush,Command,2026-05-22T12:42:09.441085Z
18,instance,/src/Logging/CPSLogger.cpp,~FlushScope,/include/cpsCore/Logging/CPSLogger.h,instance,Command,2026-05-22T12:42:09.442085Z
19,onConnectionEvent,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,RedisPublisher,/include/cpsCore/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.h,onConnectionEvent,Command,2026-05-22T12:42:09.443085Z
20,stream,/src/Utilities/Test/TestInfo.cpp,initialize,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.444085Z
21,run,/include/cpsCore/Utilities/Test/TestRunner.hpp,main,/extern/Catch2/single_include/catch2/catch.hpp,run,Command,2026-05-22T12:42:09.445085Z
22,load,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerializationImpl.hpp,split,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerialization.h,load,Command,2026-05-22T12:42:09.446085Z
23,load,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerializationImpl.hpp,split,/include/cpsCore/Utilities/LinearAlgebra.h,load,Command,2026-05-22T12:42:09.447085Z
24,load,/include/cpsCore/Utilities/DataPresentation/detail/BasicSerializationImpl.hpp,split,/include/cpsCore/Utilities/Packet.h,load,Command,2026-05-22T12:42:09.448085Z
25,add,/src/Aggregation/Aggregator.cpp,add,/include/cpsCore/Aggregation/DynamicContainer/DynamicObjectContainer.h,add,Command,2026-05-22T12:42:09.449085Z
26,connect,/src/Utilities/IPC/detail/MessageQueueSubscriptionImpl.cpp,MessageQueueSubscriptionImpl,/include/cpsCore/Utilities/IPC/detail/MessageQueueSubscriptionImpl.h,connect,Command,2026-05-22T12:42:09.450085Z
27,notifyAggregationOnUpdate,/src/Aggregation/Aggregator.cpp,add,/include/cpsCore/Aggregation/DynamicContainer/DynamicObjectContainer.h,notifyAggregationOnUpdate,Command,2026-05-22T12:42:09.451085Z
28,publish,/src/Utilities/IPC/detail/MessageQueuePublisherImpl.cpp,~MessageQueuePublisherImpl,/include/cpsCore/Utilities/IPC/detail/MessageQueuePublisherImpl.h,publish,Command,2026-05-22T12:42:09.452085Z
29,connect,/src/Utilities/IPC/detail/SharedMemorySubscriptionImpl.cpp,SharedMemorySubscriptionImpl,/include/cpsCore/Utilities/IPC/detail/SharedMemorySubscriptionImpl.h,connect,Command,2026-05-22T12:42:09.453085Z
30,run,/src/Synchronization/AggregatableRunner.cpp,runStage,/include/cpsCore/Synchronization/IRunnableObject.h,run,Command,2026-05-22T12:42:09.454085Z
31,isSet,/src/Utilities/IDC/IDC.cpp,run,/include/cpsCore/Aggregation/AggregatableObject.hpp,isSet,Command,2026-05-22T12:42:09.455085Z
32,disconnect,/src/Utilities/IDC/NetworkLayer/Redis/RedisSubscriber.cpp,~RedisSubscriber,/extern/cpp_redis/includes/cpp_redis/core/subscriber.hpp,disconnect,Command,2026-05-22T12:42:09.456085Z
33,stream,/src/Utilities/SignalHandler/SignalHandler.cpp,subscribeOnSigint,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.457085Z
34,stream,/src/Utilities/IPC/detail/MessageQueuePublisherImpl.cpp,~MessageQueuePublisherImpl,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.458085Z
35,getInstance,/src/Utilities/SignalHandler/SignalHandler.cpp,subscribeOnSigint,/include/cpsCore/Utilities/SignalHandler/SignalHandler.h,getInstance,Command,2026-05-22T12:42:09.459085Z
