callerFunc.name,	callerFolder,	calleeFunction,	colleeFolder
"cpp_funcdef//include/cpsCore/Aggregation/AggregatableObject.hpp/AggregatableObject.checkIsSetImpl", "Aggregation", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Aggregation/Aggregator.h/Aggregator.add", "Aggregation", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Aggregation/ObjectHandleContainer.hpp/ObjectHandleContainer.setFromAggregationIfNotSet", "Aggregation", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Configuration/PropertyMapper.hpp/PropertyMapper.add", "Configuration", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Configuration/PropertyMapper.hpp/PropertyMapper.addEigen", "Configuration", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Configuration/PropertyMapper.hpp/PropertyMapper.addEnum", "Configuration", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Configuration/PropertyMapper.hpp/PropertyMapper.addVector", "Configuration", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Configuration/PropertyMapper.hpp/PropertyMapper.getChild", "Configuration", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Configuration/PropertyMapper.hpp/PropertyMapper.mandatoryCheck", "Configuration", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//src/Configuration/PropertyMapper.cpp/PropertyMapper.add", "Configuration", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Framework/StaticFactory.h/StaticFactory.create", "Framework", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Framework/StaticFactory.h/StaticFactory.createSpecific", "Framework", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//src/Synchronization/AggregatableRunner.cpp/AggregatableRunner.notifyAggregationOnUpdate", "Synchronization", "cpp_funcdec//include/cpsCore/Aggregation/Aggregator.h/Aggregator.getAll", "Aggregation"
"cpp_funcdef//src/Synchronization/SimpleRunner.cpp/SimpleRunner.runAllStages", "Synchronization", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//src/Synchronization/SimpleRunner.cpp/SimpleRunner.runStage", "Synchronization", "cpp_funcdec//include/cpsCore/Aggregation/Aggregator.h/Aggregator.getAll", "Aggregation"
"cpp_funcdef//src/Synchronization/SimpleRunner.cpp/SimpleRunner.runStage", "Synchronization", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//src/Synchronization/SimpleRunner.cpp/SimpleRunner.runStage", "Synchronization", "cpp_funcdef//include/cpsCore/Utilities/EnumMap.hpp/EnumMap.convert", "Utilities"
"cpp_funcdef//src/Synchronization/SimpleRunner.cpp/SimpleRunner.runStages", "Synchronization", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//src/Synchronization/SimpleRunner.cpp/SimpleRunner.runStages", "Synchronization", "cpp_funcdef//include/cpsCore/Utilities/EnumMap.hpp/EnumMap.convert", "Utilities"
"cpp_funcdef//src/Synchronization/SynchronizedRunner.cpp/SynchronizedRunner.runSynchronized", "Synchronization", "cpp_funcdec//include/cpsCore/Aggregation/Aggregator.h/Aggregator.getAll", "Aggregation"
"cpp_funcdef//src/Synchronization/SynchronizedRunner.cpp/SynchronizedRunner.runSynchronized", "Synchronization", "cpp_funcdec//include/cpsCore/Logging/CPSLogger.h/CPSLogger.flush", "Logging"
"cpp_funcdef//src/Synchronization/SynchronizedRunner.cpp/SynchronizedRunner.runSynchronized", "Synchronization", "cpp_funcdec//include/cpsCore/Logging/CPSLogger.h/CPSLogger.instance", "Logging"
"cpp_funcdef//src/Synchronization/SynchronizedRunnerMaster.cpp/SynchronizedRunnerMaster.SynchronizedRunnerMaster", "Synchronization", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//src/Synchronization/SynchronizedRunnerMaster.cpp/SynchronizedRunnerMaster.runAllStages", "Synchronization", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//src/Synchronization/SynchronizedRunnerMaster.cpp/SynchronizedRunnerMaster.runStage", "Synchronization", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Utilities/EnumMap.hpp/EnumMap.convert", "Utilities", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
"cpp_funcdef//include/cpsCore/Utilities/EnumMap.hpp/enumAccessUnknown", "Utilities", "cpp_funcdef//include/cpsCore/Logging/CPSLogger.h/RAIILogStream.stream", "Logging"
